"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost_car","b_cost_bus","b_cost_air","b_cost_rail","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,-1170.8600760604
-0.162798030200639,-0.00087881731034571,0.0361924290271348,0.000223386385950432,-0.000453997419237331,-5.65644220561937e-05,0.00023800194361431,-0.000819827783186113,0.00159417843196342,-0.00649978764425967,-0.000470459294240405,0.000234096279597499,-1102.68109149558
-0.345566256178367,0.0482291732972134,0.0780685821696738,0.000252167706976002,-0.0011959618122722,-0.000195505793435051,0.000285381796062827,-0.00129155262324089,0.00041334411831147,-0.0159594929284234,-0.00488860286581387,-0.00382468265229881,-1071.73222033833
-0.588051369561028,0.552979074532271,0.250092971121501,-0.00168046603467805,-0.00345986834691705,-0.00619520953263062,-0.00297061973101661,-0.00406652380199092,-0.0176167879480314,-0.0236755955601522,-0.0216473740274444,-0.0220658387739297,-1036.81903311533
-0.00221043967099976,1.37345189575373,0.809508032236358,-0.00346155025744431,-0.00719067875524269,-0.0169092862897318,-0.00909889889061577,-0.0101647053056433,-0.029272398539606,-0.0311188515585757,-0.0320228059260736,-0.0332478751204389,-1026.21122979042
1.6126645022587,2.43423977741933,2.0720986049893,-0.00267081093259062,-0.00941127125735896,-0.0205325911670693,-0.0126369600965597,-0.0112510212810459,-0.0209639986738354,-0.0390387378092503,-0.0341429882736408,-0.036023179102251,-1025.04137736939
1.93240714944201,2.75480599224955,2.37816588680865,-0.00232199774798116,-0.00958466644856893,-0.0211711167874193,-0.0130606073831409,-0.0114966096073204,-0.0180361590228468,-0.0399284802316886,-0.0346025620039436,-0.0363165332204839,-1025.00470877331
1.94570521815939,2.76236809870124,2.38084317101987,-0.002307668685694,-0.00959977180988102,-0.021170025047387,-0.0130310201530771,-0.0114893948608296,-0.0179613748007381,-0.039949461220888,-0.0346140045220801,-0.0363112820280781,-1025.00461957951
1.94472873285552,2.76308956141457,2.38012402828329,-0.00230764026407387,-0.00959769282336892,-0.0211742053036907,-0.0130270723571685,-0.0114917382387996,-0.017960840284196,-0.0399367377715852,-0.0346175947480766,-0.0363073606857897,-1025.00461869831
1.94473809675825,2.7630118462806,2.38010064531405,-0.002307685806271,-0.00959780187998294,-0.0211739543898831,-0.0130270980262181,-0.0114913580861247,-0.0179609698768256,-0.039936855126621,-0.0346173306239214,-0.0363073287404372,-1025.00461869104
